Entry Date,Exit Date,Entry Price,Exit Price,Profit
2020-01-14,2020-01-20,6302.0,6259.0,-43.0
2020-02-12,2020-03-09,5764.0,5535.0,-229.0
2020-04-01,2020-05-27,4800.0,5259.5,459.5
2020-05-29,2020-07-23,5376.5,6544.5,1168.0
2020-08-19,2020-08-24,6685.0,6516.0,-169.0
2020-08-27,2020-09-10,6621.0,6668.5,47.5
2020-09-14,2020-09-21,6796.0,6691.5,-104.5
2020-10-09,2020-10-28,6763.0,6748.0,-15.0
2020-11-06,2020-12-15,6946.5,7782.5,836.0
2020-12-18,2020-12-21,7985.0,7846.5,-138.5
2021-01-07,2021-01-11,8179.0,7864.0,-315.0
2021-02-09,2021-03-05,8147.5,8895.5,748.0
2021-04-14,2021-05-19,9074.5,10001.5,927.0
2021-07-05,2021-08-06,9511.0,9468.0,-43.0
2021-08-27,2021-09-20,9410.0,9033.0,-377.0
2021-10-08,2021-10-27,9361.0,9548.0,187.0
2021-11-22,2021-11-29,9726.5,9577.5,-149.0
